时间戳记,Nickname for the whole user study,Which Version did you play?,Indicate the extent do you feel this way after playing the game.   [Interested],Indicate the extent do you feel this way after playing the game.   [Distressed],Indicate the extent do you feel this way after playing the game.   [Excited],Indicate the extent do you feel this way after playing the game.   [Upset],Indicate the extent do you feel this way after playing the game.   [Strong],Indicate the extent do you feel this way after playing the game.   [Guilty],Indicate the extent do you feel this way after playing the game.   [Scared],Indicate the extent do you feel this way after playing the game.   [Hostile],Indicate the extent do you feel this way after playing the game.   [Enthusiastic],Indicate the extent do you feel this way after playing the game.   [Proud],Indicate the extent do you feel this way after playing the game.   [Irritable],Indicate the extent do you feel this way after playing the game.   [Alert],Indicate the extent do you feel this way after playing the game.   [Ashamed],Indicate the extent do you feel this way after playing the game.   [Inspired],Indicate the extent do you feel this way after playing the game.   [Nervous],Indicate the extent do you feel this way after playing the game.   [Determined],Indicate the extent do you feel this way after playing the game.   [Attentive],Indicate the extent do you feel this way after playing the game.   [Jittery],Indicate the extent do you feel this way after playing the game.   [Active],Indicate the extent do you feel this way after playing the game.   [Afraid],"Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [Whenever I stopped playing the game I cannot wait to start playing it again.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I cannot tell that I am getting tired while playing the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I do not care to check events that are happening in the real world during the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I think the game is fun]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [If given the chance, I want to play this game again.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I enjoy playing the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I feel successful when I overcome the obstacles in the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I want to do as well as possible during the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I am very focused on my own performance while playing the game.]",Select to what extent you feel now represented by this image,Select to what extent you feel now represented by this image,Select to what extent you feel now  represented by this image,How was the horror level?
2026/05/07 12:33:35 下午 GMT+9,Mudit,Version 2,Quite a bit,A little,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Extremely,Very slightly or not at all,Quite a bit,A little,Moderately,Quite a bit,A little,Quite a bit,Very slightly or not at all,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,2,3,4,2
2026/05/07 12:51:14 下午 GMT+9,Sappy,Version 2,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,A little,Quite a bit,Quite a bit,Very slightly or not at all,Very slightly or not at all,Extremely,Very slightly or not at all,Moderately,Moderately,Extremely,Extremely,Very slightly or not at all,Extremely,A little,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,1,2,4,4
2026/05/07 1:05:35 下午 GMT+9,Max,Version 2,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Disagree,Somewhat Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,3,4,3,2
2026/05/08 1:51:27 下午 GMT+9,thor,Version 2,Quite a bit,Quite a bit,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Quite a bit,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,1,2,3,4
2026/05/08 2:07:59 下午 GMT+9,Haekal,Version 2,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,A little,Very slightly or not at all,Moderately,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Extremely,Very slightly or not at all,Moderately,Very slightly or not at all,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,2,5,5,2
2026/05/08 3:11:08 下午 GMT+9,Kanato,Version 2,Quite a bit,A little,A little,Quite a bit,A little,A little,Extremely,Moderately,Quite a bit,A little,A little,Quite a bit,Moderately,Moderately,Quite a bit,A little,A little,Quite a bit,Moderately,Extremely,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Somewhat Agree,3,4,2,5
2026/05/08 4:07:57 下午 GMT+9,Texas,Version 2,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,5,5,1
2026/05/08 4:16:09 下午 GMT+9,zac,Version 2,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Disagree,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,3,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
